season,week,mean_ci_width,mean_cv,n_contestants,ci_width_rank_pct
28,9,0.011585780226832034,0.021316573059253833,6,0.1880597014925373
28,10,0.01265597838811544,0.0173522879910362,5,0.2
28,11,0.03671060959848703,0.037669742641651974,4,0.42686567164179107
29,1,0.01068847706908848,0.043166978324528586,15,0.1791044776119403
29,2,0.006499051233800586,0.02680160719887287,15,0.07462686567164178
29,3,0.005326466711186394,0.020896274984357484,14,0.029850746268656716
29,4,0.004918421934182093,0.016945937960097884,13,0.01791044776119403
29,5,0.0040780089778724255,0.013094477709452858,12,0.0029850746268656717
29,6,0.004623681050239191,0.014316642291488137,11,0.011940298507462687
29,7,0.00565849319385245,0.01565280840263418,10,0.03880597014925373
29,8,0.005761161745325038,0.012351053127398037,8,0.04776119402985075
29,9,0.009018847856063172,0.016516122238410317,7,0.15223880597014924
29,10,0.009692332212875817,0.016202013558803435,6,0.16119402985074627
29,11,0.03337408403448195,0.034796599352804575,4,0.34328358208955223
30,1,0.010386506843501432,0.04174866556325945,15,0.17313432835820897
30,2,0.00590085759427582,0.024506398827627274,15,0.056716417910447764
30,3,0.0057274324722291926,0.02154236983451602,14,0.04477611940298507
30,4,0.0046182663321823,0.016332636871367986,13,0.008955223880597015
30,5,0.0060956145040910814,0.01810007636378859,11,0.06865671641791045
30,6,0.00704598480816312,0.01918896975532374,10,0.09850746268656717
30,7,0.008064981101843244,0.020362387359588223,9,0.13432835820895522
30,8,0.007895727503876125,0.017597504533759897,8,0.12238805970149254
30,9,0.010613851163293617,0.016661378379462233,6,0.1761194029850746
30,10,0.03255989840364747,0.03467574254076328,4,0.3373134328358209
31,1,0.005544502160428363,0.023516020921921205,16,0.03582089552238806
31,2,0.005488779744838507,0.022253147974192165,15,0.03283582089552239
31,3,0.004496916098976028,0.01758101833836187,14,0.005970149253731343
31,4,0.005914569246947069,0.0210933462378524,13,0.05970149253731343
31,5,0.005951486236261567,0.01904200696712354,12,0.0626865671641791
31,6,0.00818424024818223,0.021203197742312573,10,0.1373134328358209
31,7,0.00791803257191861,0.018349398649361023,9,0.1253731343283582
31,8,0.006980092598925112,0.014415969929149787,8,0.0955223880597015
31,9,0.01132459381211255,0.018502064952973102,6,0.18507462686567164
31,10,0.033531073386138796,0.03428567024890285,4,0.3492537313432836
32,1,0.0095078054018632,0.035208463772630975,14,0.15522388059701492
32,2,0.007366548183235308,0.026325637434803983,13,0.10746268656716418
32,3,0.00682211974220525,0.023104901974708766,12,0.08358208955223881
32,4,0.0062977923611817,0.018873742008909018,11,0.07164179104477612
32,5,0.0057844556983782805,0.015765945948631722,10,0.050746268656716415
32,6,0.006774046276093989,0.017244229297766353,9,0.07761194029850746
32,7,0.006843076976142162,0.015329352368870263,8,0.08656716417910448
32,8,0.007072970520276571,0.01255644505418467,7,0.10149253731343283
32,9,0.007400476410660117,0.012825120353741367,6,0.11343283582089553
32,10,0.02562983246034702,0.0341407679036661,5,0.2298507462686567
32,11,0.03976655478733646,0.05310079514830288,5,0.48059701492537316
33,1,0.009761268586741145,0.03529623567541206,13,0.16417910447761194
33,2,0.004930202657641715,0.0176000349541529,13,0.020895522388059702
33,3,0.004822254311069072,0.0144103733845922,11,0.014925373134328358
33,4,0.007130579916381589,0.017560209249497367,9,0.1044776119402985
33,5,0.00864226236248475,0.018009899583169314,8,0.14328358208955225
33,6,0.010332272418629386,0.019485627991655298,7,0.1701492537313433
33,7,0.011680471888900167,0.019031651116814,6,0.191044776119403
33,8,0.026677466578566723,0.03580218614882574,5,0.23283582089552238
33,9,0.04026828784365518,0.054476068272914756,5,0.49850746268656715
34,1,0.009602403143984885,0.03610245065868995,14,0.1582089552238806
34,2,0.005202194859964958,0.02074758805377343,14,0.026865671641791045
34,3,0.00599436996294555,0.019338577180421975,12,0.06567164179104477
34,4,0.005684390620790653,0.01715807055955958,11,0.041791044776119404
34,5,0.00693671565713268,0.01900035529508706,10,0.09253731343283582
34,6,0.00796324340023201,0.023397417708405522,10,0.12835820895522387
34,7,0.007369519814758622,0.018238984223956548,9,0.11044776119402985
34,8,0.0068073794448207875,0.015149408275862137,8,0.08059701492537313
34,9,0.008941914597024843,0.0167969203059562,7,0.14925373134328357
34,10,0.0077986960445216675,0.013180933584431134,6,0.11641791044776119
34,11,0.0253958651672117,0.035046777292977435,5,0.22388059701492538
